PREMIUM;;
Tanggal;Jumlah ( Penjualan );
;qty (L);Jumlah (Rp)
2019-10-09;15.889,00;102.484.050,00
2019-10-10;15.849,00;102.226.050,00
2019-10-11;15.826,00;102.077.700,00
2019-10-12;15.742,00;101.535.900,00
2019-10-13;15.888,00;102.477.600,00
2019-10-14;15.815,00;102.006.750,00
2019-10-15;15.845,00;102.200.250,00
2019-10-16;15.870,00;102.361.500,00
2019-10-17;10.920,00;70.434.000,00
2019-10-18;27.556,00;177.736.200,00
2019-10-19;24.619,00;158.792.530,00
2019-10-20;24.176,00;155.935.200,00
2019-10-21;24.127,00;155.619.150,00
2019-10-22;25.084,00;161.791.800,00
2019-10-23;24.616,00;158.773.200,00
2019-10-24;21.144,00;136.378.800,00
2019-10-25;24.356,00;157.096.200,00
2019-10-26;21.751,00;140.293.950,00
2019-10-27;24.816,00;160.063.200,00
2019-10-28;24.953,00;160.946.850,00
2019-10-29;19.197,00;123.820.650,00
2019-10-30;25.243,00;162.817.350,00
2019-10-31;20.945,00;135.095.250,00
2019-11-01;24.048,00;155.109.600,00
2019-11-02;24.427,00;157.554.150,00
2019-11-03;24.735,00;159.540.750,00
2019-11-04;18.804,00;121.285.800,00
2019-11-05;19.696,00;127.039.200,00
2019-11-06;21.579,00;139.184.550,00
2019-11-07;24.552,00;158.360.400,00
2019-11-08;24.083,00;155.335.350,00
2019-11-09;24.512,00;158.102.400,00
2019-11-10;24.952,00;160.940.400,00
2019-11-11;18.056,00;116.461.200,00
2019-11-12;27.644,00;178.303.800,00
2019-11-13;23.489,00;151.504.050,00
2019-11-14;13.210,00;85.204.500,00
2019-11-15;7.897,00;50.935.650,00
2019-11-16;15.806,00;101.948.700,00
2019-11-17;15.863,00;102.316.350,00
2019-11-18;27.707,00;178.710.150,00
2019-11-19;26.523,00;171.073.350,00
2019-11-20;14.013,00;90.383.850,00
2019-11-21;25.191,00;162.481.950,00
2019-11-22;24.330,00;156.928.500,00
2019-11-23;22.917,00;147.801.750,00
2019-11-24;24.850,00;160.282.500,00
2019-11-25;26.840,00;173.118.000,00
2019-11-26;25.720,00;165.894.000,00
2019-11-27;19.405,00;125.162.250,00
2019-11-28;18.061,00;116.493.450,00
2019-11-29;26.787,00;172.776.150,00
2019-11-30;25.093,00;161.849.850,00
2019-12-01;19.782,00;127.593.900,00
2019-12-02;21.040,00;135.708.000,00
2019-12-03;15.861,00;102.303.450,00
2019-12-04;15.850,00;102.232.500,00
2019-12-05;15.788,00;101.832.600,00
2019-12-06;15.884,00;102.451.800,00
2019-12-07;15.826,00;102.077.700,00
2019-12-08;15.887,00;102.471.150,00
2019-12-09;15.877,00;102.406.650,00
2019-12-10;15.847,00;102.213.150,00
2019-12-11;15.850,00;102.232.500,00
2019-12-12;15.866,00;102.335.700,00
2019-12-13;15.871,00;102.367.950,00
2019-12-14;15.821,00;102.045.450,00
2019-12-15;15.820,00;102.039.000,00
2019-12-16;15.859,00;102.290.550,00
2019-12-17;8.537,00;55.063.650,00
2019-12-18;23.070,00;148.801.500,00
2019-12-19;15.869,00;102.355.050,00
2019-12-20;15.825,00;102.071.250,00
2019-12-21;15.846,00;102.206.700,00
2019-12-22;15.863,00;102.316.350,00
2019-12-23;15.740,00;101.523.000,00
2019-12-24;15.862,00;102.309.900,00
2019-12-25;15.829,00;102.097.050,00
2019-12-26;15.827,00;102.084.150,00
2019-12-27;15.916,00;102.658.200,00
2019-12-28;15.880,00;102.434.000,00
2019-12-29;15.860,00;102.297.000,00
2019-12-30;15.901,00;102.561.450,00
2019-12-31;15.874,00;102.387.300,00
